ordem,nome,telefone,whatsapp,site,cidade,bairro,endereco,observacoes
1,Doutor Carlos A Sugaya,"","","","","","Rua Ken Sugaya, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
2,"","","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
3,Oralcamp,+55 (19) 3342-5050,"","",Campinas,Vila Itapura,"Rua Visconde de Taunay, 184, Vila Itapura, Campinas, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
4,Odontologia RM,"","",https://www.odontologiarm.com.br/,"","","1057, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
5,Odonto Ubatuba,"","","","","","Avenida Dona Maria Alves, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
6,Clínica Vicentini,"","","",Ribeirão Preto,Jardim Canada,"Rua Galileu Galilei, 1685, Jardim Canada, Ribeirão Preto, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
7,Maximplante Clinica de Implantes Dentários,"","",http://maximplante.com.br,"","","Rua Benedito Calixto, 182, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
8,"","","","",São Paulo,"","Rua José Antônio Coelho, 168, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
9,Dra. Ilka Nagasawa,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
10,Sorridents,"","",https://sorridents.com.br,"","","Avenida Puglisi, 591, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
11,Mikado Odontologia,+55 12 3931 8619,"","",São José dos Campos,Jardim Oriente,"Praça Mikado, 123, Jardim Oriente, São José dos Campos, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
12,Vittá Ortodontia,+55 11 4356 6656,"","",São Bernardo do Campo,"","Rua Luis de Gois, São Bernardo do Campo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
13,Erivelton F. Pasti,"","","",Franca,Centro,"Rua General Osório, 2267, Centro, Franca, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
14,Clínica Dentária Marlon F. Magalhães,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
15,Dentistas especializados,"","","",Sumaré,"","Sumaré, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
16,"","","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
17,Doutora Maria Augusta N.Prando,+55 11 4399 1223,"","",São Bernardo do Campo,Jardim Embaré,"Rua Benedito Conrado Filho, 314, Jardim Embaré, São Bernardo do Campo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
18,"","","","",São Paulo,"","Avenida Sapopemba, 760, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
19,Deale Odontologia,"","","",São Paulo,"","Avenida Conceição, 4063, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
20,"","","","",São Paulo,"","Rua Coronel Diogo, 653, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
21,"","","","",São Paulo,"","Rua do Oratório, 1024, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
22,"","","","",São Paulo,"","Rua Major Basílio, 170, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
23,"","","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
24,"","","","",São Paulo,"","Rua Loefgreen, 1260, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
25,"","","","",São Paulo,"","Rua Loefgreen, 1113, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
26,Centro Odontológico Dr. Paulo Sérgio Guena Marsiglio,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
27,CEO III Prof. Alfredo Reis Viegas,"","","",São Paulo,"","Rua Humaitá, 520, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
28,Consultório Dentário,"","","","","","Rua General Argolo, 657, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
29,Centro Odontológico Integrado,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
30,"","","","",São Paulo,"","Avenida Água Fria, 1509, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
31,Doctormil Assistência Odontológica,"","","",São Paulo,Vila Lageado,"Avenida Corifeu de Azevedo Marques, 2733, Vila Lageado, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
32,Centro Especialidades Ondontológicas São João,"","","",Guarulhos,Cidade Seródio,"Rua Cruz do Espírito Santo, 44, Cidade Seródio, Guarulhos, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
33,"","","","",São Paulo,"","Rua Bandeirantes, 408, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
34,Consultório Odontológico Caroline De Carlo,+55 12 3629 1127,"","",Taubaté,Imaculada,"Avenida  Imaculada Conceição, 524, Imaculada, Taubaté, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
35,"","","","",São Paulo,"","Rua Cristóvão Lins, 512, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
36,Sorridents,"","","",Diadema,"","Avenida Piraporinha, Diadema, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
37,Eternity Clínica,"","","","","","Avenida Prestes Maia, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
38,Clean Odonto,"","","",Campinas,Cambuí,"Rua Santa Cruz, 141, Cambuí, Campinas, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
39,"","","","",São Paulo,"","Rua Voluntários da Pátria, 2319, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
40,"","","","",São Paulo,"","Rua Voluntários da Pátria, 2303, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
41,"","","","",São Paulo,"","Rua Voluntários da Pátria, 2195, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
42,"","","","",São Paulo,"","Rua Voluntários da Pátria, 2172, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
43,"","","","",São Paulo,"","Rua Voluntários da Pátria, 1929, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
44,Clínica odontológica Aclimação,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
45,"","","","",São Paulo,"","Rua Sócrates, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
46,"","","","",São Paulo,"","Rua Reverendo Israel Vieira Ferreira, 541, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
47,"","","","",São Paulo,"","Avenida Conceição, 3506A, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
48,Azuaga,"","","","","","Rua Santos Dumont, 448, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
49,VS Odontologia,"","","","","","Rua Gustavo Enge, 51, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
50,Sorriso da Vila,"","","",São Paulo,"","Rua Fradique Coutinho, 877, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
